@relation discweka
@attribute id NUMERIC 
@attribute a1 NUMERIC
@attribute cat {0,1,2,3,4,5,6}
@data
1,4,1
2,2,1
3,40,1
4,98,1
5,246,1
6,253,1
7,303,1
8,0,1
9,257,1
10,31,1
11,53,1
12,3,1
13,36,1
14,8,1
15,63,1
16,265,1
17,247,1
18,266,1
19,240,1
20,0,1
21,0,1
22,7,1
23,124,1
24,60,1
25,0,1
26,161,1
27,308,1
28,312,1
29,223,1
30,299,1
31,0,1
32,55,1
33,38,1
34,214,1
35,60,1
36,0,1
37,171,1
38,179,1
39,129,1
40,226,1
41,275,1
42,231,1
43,51,1
44,169,1
45,46,1
46,11,1
47,15,1
48,78,1
49,171,1
50,179,1
51,155,1
52,308,1
53,217,1
54,53,1
55,69,1
56,14,1
57,58,1
58,90,1
59,103,1
60,112,1
61,266,1
62,0,1
63,0,1
64,180,1
65,73,1
66,0,1
67,0,1
68,0,1
69,0,1
70,0,1
71,0,1
72,0,1
73,0,1
74,0,1
75,0,1
76,0,1
77,0,1
78,4,1
79,28,1
80,87,1
81,125,1
82,0,1
83,0,1
84,0,1
85,281,1
86,239,1
87,137,1
88,0,1
89,211,1
90,230,1
91,0,1
92,253,1
93,219,1
94,208,1
95,0,1
96,311,1
97,239,1
98,87,1
99,36,1
100,125,1
101,75,1
102,11,1
103,230,1
104,269,1
105,0,1
106,0,1
107,231,1
108,281,1
109,36,1
110,195,1
111,206,1
112,189,1
113,270,1
114,0,1
115,238,1
116,162,1
117,284,1
118,305,1
119,208,1
120,110,1
121,49,1
122,33,1
123,49,1
124,185,1
125,241,1
126,278,1
127,54,1
128,169,1
129,90,1
130,166,1
131,90,1
132,124,1
133,215,1
134,257,1
135,60,1
136,238,1
137,99,1
138,119,1
139,272,1
140,102,1
141,304,1
142,266,1
143,234,1
144,181,1
145,260,1
146,3,1
147,45,1
148,35,1
149,243,1
150,211,1
151,245,1
152,240,1
153,299,1
154,306,1
155,166,1
156,131,1
157,21,1
158,97,1
159,133,1
160,20,1
161,198,1
162,80,1
163,252,1
164,204,1
165,157,1
166,56,1
167,163,1
168,145,1
169,26,1
170,53,1
171,193,1
172,136,1
173,133,1
174,253,1
175,158,1
176,310,1
177,263,1
178,172,1
179,131,1
180,13,1
181,38,1
182,53,1
183,28,1
184,75,1
185,113,1
186,178,1
187,184,1
188,195,1
189,242,1
190,94,1
191,208,1
192,56,1
193,87,1
194,0,1
195,24,1
196,0,1
197,0,1
198,0,1
199,0,1
200,0,1
201,223,1
202,0,1
203,101,1
204,0,1
205,7,1
206,0,1
207,0,1
208,60,1
209,0,1
210,0,1
211,0,1
212,0,1
213,0,1
214,0,1
215,0,1
216,0,1
217,0,1
218,0,1
219,0,1
220,43,1
221,0,1
222,0,1
223,0,1
224,0,1
225,0,1
226,34,1
227,0,1
228,44,1
229,0,1
230,7,1
231,73,1
232,2,1
233,145,1
234,151,1
235,34,1
236,231,1
237,91,1
238,130,1
239,60,1
240,38,1
241,0,1
242,14,1
243,14,1
244,28,1
245,16,1
246,27,1
247,67,1
248,0,1
249,209,1
250,7,1
251,30,1
252,118,1
253,3,1
254,212,1
255,206,1
256,115,1
257,62,1
258,218,1
259,247,1
260,256,1
261,79,1
262,162,1
263,238,1
264,60,1
265,13,1
266,105,1
267,3,1
268,25,1
269,122,1
270,111,1
271,289,1
272,202,1
273,128,1
274,103,1
275,142,1
276,82,1
277,0,1
278,0,1
279,0,1
280,116,1
281,0,1
282,0,1
283,0,1
284,0,1
285,239,1
286,0,1
287,31,1
288,18,1
289,16,1
290,22,1
291,0,1
292,108,1
293,2,1
294,16,1
295,85,1
296,0,1
297,0,1
298,0,1
299,10,1
300,22,1
301,43,1
302,0,1
303,0,1
304,3,1
305,121,1
306,199,1
307,85,1
308,209,1
309,205,1
310,3,1
311,90,1
312,42,1
313,18,1
314,0,1
315,0,1
316,0,1
317,0,1
318,57,1
319,140,1
320,55,1
321,40,1
322,1,1
323,13,1
324,39,1
325,11,1
326,1,1
327,0,1
328,0,1
329,7,1
330,131,1
331,40,1
332,129,1
333,135,1
334,15,1
335,15,1
336,16,1
337,3,1
338,0,1
339,0,1
340,3,1
341,13,1
342,60,1
343,203,1
344,144,1
345,133,1
346,14,1
347,13,1
348,3,1
349,4,1
350,1,1
351,0,1
352,0,1
353,30,1
354,71,1
355,35,1
356,11,1
357,0,1
358,3,1
359,137,1
360,191,1
361,7,1
362,0,1
363,47,1
364,1,1
365,2,1
366,3,1
367,14,1
368,128,1
369,266,1
370,184,1
371,90,1
372,63,1
373,49,1
374,43,1
375,11,1
376,65,1
377,123,1
378,79,1
379,0,1
380,233,1
381,295,1
382,96,1
383,53,1
384,68,1
385,25,1
386,31,1
387,37,1
388,12,1
389,153,1
390,0,1
391,227,1
392,261,1
393,295,1
394,42,1
395,152,1
396,43,1
397,12,1
398,1,1
399,11,1
400,51,1
401,60,1
402,35,1
403,162,1
404,237,1
405,284,1
406,186,1
407,175,1
408,53,1
409,113,1
410,76,1
411,0,1
412,2,1
413,6,1
414,7,1
415,216,1
416,271,1
417,189,1
418,93,1
419,53,1
420,126,1
421,15,1
422,4,1
423,14,1
424,39,1
425,98,1
426,153,1
427,0,1
428,277,1
429,307,1
430,254,1
431,161,1
432,99,1
433,84,1
434,46,1
435,0,1
436,0,1
437,0,1
438,0,1
439,0,1
440,0,1
441,0,1
442,0,1
443,0,1
444,0,1
445,0,1
446,0,1
447,0,1
448,0,1
449,0,1
450,0,1
451,0,1
452,0,1
453,0,1
454,0,1
455,0,1
456,0,1
457,0,1
458,0,1
459,0,1
460,0,1
461,0,1
462,0,1
463,0,1
464,0,1
465,0,1
466,0,1
467,0,1
468,0,1
469,0,1
470,0,1
471,0,1
472,0,1
473,0,1
474,0,1
475,0,1
476,0,1
477,0,1
478,0,1
479,0,1
480,0,1
481,0,1
482,0,1
483,0,1
484,0,1
485,0,1
486,0,1
487,0,1
488,0,1
489,0,1
490,0,1
491,0,1
492,0,1
493,0,1
494,0,1
495,0,1
496,0,1
497,0,1
498,0,1
499,0,1
500,0,1
501,0,1
502,0,1
503,0,1
504,0,1
505,0,1
506,0,1
507,0,1
508,0,1
509,0,1
510,0,1
511,0,1
512,0,1
513,0,1
514,0,1
515,0,1
516,0,1
517,0,1
518,0,1
519,0,1
520,0,1
521,0,1
522,0,1
523,0,1
524,0,1
525,0,1
526,0,1
527,0,1
528,0,1
529,0,1
530,0,1
531,0,1
532,0,1
533,0,1
534,0,1
535,0,1
536,0,1
537,0,1
538,0,1
539,0,1
540,0,1
541,0,1
542,0,1
543,0,1
544,0,1
545,0,1
546,0,1
547,0,1
548,0,1
549,0,1
550,0,1
551,0,1
552,0,1
553,0,1
554,0,1
555,0,1
556,0,1
557,0,1
558,0,1
559,0,1
560,0,1
561,0,1
562,0,1
563,0,1
564,0,1
565,0,1
566,0,1
567,0,1
568,0,1
569,0,1
570,0,1
571,0,1
572,0,1
573,0,1
574,0,1
575,0,1
576,0,1
577,0,1
578,0,1
579,0,1
580,0,1
581,0,1
582,0,1
583,0,1
584,0,1
585,0,1
586,0,1
587,0,1
588,0,1
589,0,1
590,0,1
591,0,1
592,0,1
593,0,1
594,0,1
595,0,1
596,0,1
597,0,1
598,0,1
599,0,1
600,193,2
601,104,2
602,147,2
603,211,2
604,187,2
605,188,2
606,258,2
607,290,2
608,84,2
609,101,2
610,279,2
611,122,2
612,195,2
613,107,2
614,158,2
615,231,2
616,182,2
617,173,2
618,208,2
619,272,2
620,151,2
621,27,2
622,198,2
623,12,2
624,179,2
625,124,2
626,231,2
627,286,2
628,284,2
629,220,2
630,259,2
631,226,2
632,146,2
633,61,2
634,164,2
635,288,2
636,173,2
637,67,2
638,243,2
639,137,2
640,186,2
641,92,2
642,114,2
643,217,2
644,210,2
645,68,2
646,193,2
647,63,2
648,41,2
649,83,2
650,186,2
651,217,2
652,173,2
653,176,2
654,134,2
655,288,2
656,137,2
657,107,2
658,196,2
659,53,2
660,194,2
661,216,2
662,211,2
663,154,2
664,144,2
665,222,2
666,188,2
667,131,2
668,163,2
669,80,2
670,190,2
671,72,2
672,0,2
673,96,2
674,70,2
675,257,2
676,295,2
677,108,2
678,194,2
679,290,2
680,197,2
681,190,2
682,98,2
683,71,2
684,195,2
685,260,2
686,132,2
